I0507 12:04:17.597069       1 descheduler.go:169] "Number of evicted pods" totalEvicted=0
I0507 12:02:27.984576       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.984505       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-8n9g" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.984488       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.984372       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-k2r2" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.984349       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.984182       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-7jmw" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.984157       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.984017       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-6qq6" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.983998       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.983898       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-tjd7" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu, insufficient memory]"
I0507 12:02:27.983857       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.983625       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-xv96" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.983611       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.983494       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-97ds" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.983481       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.983395       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-qmgr" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.983370       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.983153       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-n56x" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.983128       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.982977       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-m294" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.982957       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.982779       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-dd5b" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory, insufficient pods]"
I0507 12:02:27.982756       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.982476       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-5rdf" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.982456       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.982240       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-4kpb" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.982218       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.982082       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-h9bx" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.982056       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.981917       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-q6f2" error:="[pod node selector does not match the node label, insufficient memory, insufficient cpu]"
I0507 12:02:27.981888       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.981639       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-4hrn" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node]"
I0507 12:02:27.981618       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.981517       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-cvf5" error:="[pod node selector does not match the node label, insufficient memory, insufficient cpu]"
I0507 12:02:27.981489       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.981269       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-r94w" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.981238       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.980922       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-lw2b" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.980893       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.980636       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-995l" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.980611       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.980489       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-lv5d" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.980467       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.980082       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-psgn" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.980064       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.979950       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-cache-n2hc8-1-1d-61155fd9-hww7" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu, insufficient memory]"
I0507 12:02:27.979933       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.979864       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-g9gd" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.979836       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.979580       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-sskn" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.979556       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.979425       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-dhmp" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.979400       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.979237       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-ml9j" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.979212       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.979085       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-7zvh" error:="[pod node selector does not match the node label, insufficient memory, insufficient cpu, insufficient pods]"
I0507 12:02:27.979062       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.978799       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-rn42" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.978781       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.978632       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-8nfg" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.978620       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.978507       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-x9df" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.978487       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.978322       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-h9sj" error:="[pod node selector does not match the node label, insufficient cpu, insufficient pods]"
I0507 12:02:27.978299       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.978067       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-h7jr" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu]"
I0507 12:02:27.978047       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.977940       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-n6g2" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu, insufficient memory]"
I0507 12:02:27.977911       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.977687       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-vggg" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.977669       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.977559       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-484z" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu]"
I0507 12:02:27.977539       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.977411       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-7nvj" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.977387       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.977057       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-6lcp" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.977039       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976879       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-6vzp" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.976857       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976722       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-8dwk" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node]"
I0507 12:02:27.976701       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976610       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-xzrv" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.976588       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976466       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-j94k" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.976441       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976303       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-c9m7" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.976280       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976133       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-hcwk" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.976121       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.976032       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-mstl" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.976015       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975890       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-spot-n2s8-0-1dd3-f81338c4-lnkb" error:="insufficient cpu"
I0507 12:02:27.975875       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975773       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-h8bz" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.975755       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975647       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-8tx9" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.975627       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975505       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-hr4c" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.975487       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975382       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-ndsg" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.975364       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975254       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-vdj8" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.975234       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.975062       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-8f8j" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.975047       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974927       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-lqg5" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node]"
I0507 12:02:27.974906       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974823       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-2mdh" error:="[pod node selector does not match the node label, insufficient memory, insufficient cpu]"
I0507 12:02:27.974793       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974678       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-spot-n2s8-0-1dd3-f81338c4-bkt9" error:="[insufficient cpu, insufficient memory]"
I0507 12:02:27.974662       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974560       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-j2vt" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.974543       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974396       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-cache-n2hc8-1-1d-61155fd9-5snc" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient memory]"
I0507 12:02:27.974373       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974292       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-databenchloki-n2-8c6b6266-2tvt" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu]"
I0507 12:02:27.974271       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.974154       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-hg-n2s8-6-1dd39c-3bfd06e9-7pn8" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node, insufficient cpu, insufficient memory]"
I0507 12:02:27.974131       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.973939       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-perf-n2s8-0-1dd3-91689928-6p26" error:="[pod node selector does not match the node label, pod does not tolerate taints on the node]"
I0507 12:02:27.973920       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.973840       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-z9jp" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.973821       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.973710       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-v84d" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.973697       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.973581       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-npcc" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.973565       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.973467       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-phd7" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.973445       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.973319       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-5lww" error:="[pod node selector does not match the node label, insufficient cpu]"
I0507 12:02:27.973303       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.972989       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-spot-n2s8-0-1dd3-f81338c4-7chh" error:="insufficient cpu"
I0507 12:02:27.972977       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.972907       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-2dqk" error:="[pod node selector does not match the node label, insufficient pods]"
I0507 12:02:27.972894       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
I0507 12:02:27.972723       1 node.go:157] "Pod does not fit on any other node" pod:="loki-dev-005/querier-burst-6b5f6db455-5zvkm" node:="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-dkbf" error:="[pod node selector does not match the node label, insufficient cpu, insufficient memory]"
I0507 12:02:27.972712       1 node.go:339] "no Pod antiaffinity rule found" pod="loki-dev-005/querier-burst-6b5f6db455-5zvkm"
